"Sl No","Stock","Delivery Vol  Avg Month","Delivery Vol  Avg Week","Delivery% Vol  Avg Week","Delivery Vol  Prev EOD","Delivery% Vol  Avg Month","Delivery Vol  EOD","Delivery% Vol  Prev EOD","Delivery% Vol  EOD","Latest Financial Result","Net Profit 3Y Growth %","PEG TTM","Net Profit QoQ Growth %","Rev  Growth Qtr YoY %","Revenue QoQ Growth %","Durability Score","Momentum Score","1Y Low","1Y High","LTP","MF holding current Qtr %","Total Debt to Total Equity Ann ","Net Profit Ann  YoY Growth %","FII holding current Qtr %","Institutional holding current Qtr %","Promoter holding latest %","Sector","Piotroski Score","Market Cap","PE TTM","ROE Ann  %","NSE Code","BSE Code","ISIN"
"1","National Aluminium ","4851979.37","4542910.6","46.41","2393955","36.66","4537975","41.5","50.68","2025-12-31","78.49","0.29","11.55","1.47","10.22","85","76.09","149","445.15","441.5","6.24","0.01","164.93","22.27","33.02","51.28","Metals & Mining","9","81087.29","13.2","29.58","NATIONALUM","532234","INE139A01034"
"2","Jayaswal Neco Ind","3989092.84","5328270.8","33.11","10455370","38.49","8588325","26.38","38.94","2026-03-31","104.13","0.07","157.62","17.85","14.3","75","72.6","34.9","111.2","109.81","0.14","0.74","311","0.9","1.2","55.15","Metals & Mining","8","10662.53","23.02","16.29","JAYNECOIND","522285","INE854B01010"
"3","Indus Towers","3522160.53","3292473.6","49.34","2147468","54.89","3143568","59.01","31.14","2025-12-31","55.84","-0.53","-3.45","7.94","-0.51","75","47.6","312.55","481.5","413.95","14.08","0.07","64.54","25.1","44.78","51.26","Telecom Services","7","109206.75","15.31","30.56","INDUSTOWER","534816","INE121J01017"
"4","Hindustan Zinc","2639565.21","4012704.2","35.9","7555148","38.43","3483471","33.72","48.39","2026-03-31","31.6","0.56","28.52","49.05","23.35","80","66.02","398","733","616.1","1.27","0.36","33.6","2.39","35.15","60.71","Metals & Mining","9","260321.9","18.82","61.12","HINDZINC","500188","INE267A01025"
"5","Hindustan Copper","2478749.63","1552564.2","34.14","2115758","25.69","1831627","35.69","35.54","2025-12-31","24.42","1.26","-15","109.7","-4.28","85","71.6","198","760.05","556.4","0.89","0.06","57.5","6.34","11.73","66.14","Metals & Mining","8","53805.22","81.34","17.47","HINDCOPPER","513599","INE531E01026"
"6","Engineers India","2342746.42","2749682","37.72","5503927","33.87","1685660","33.06","40.7","2025-12-31","315.55","0.21","315.84","58.29","31.36","75","65.5","163.55","264.6","256.54","10.57","0","30.21","9.66","21.89","51.32","Commercial Services & Supplies","7","14418.64","18.58","21.72","ENGINERSIN","532178","INE510A01028"
"7","Multi Commodity Exchange","1439316.37","1099116.8","46.35","865676","42.15","725620","49.01","38.71","2025-12-31","290.41","0.95","103.13","120.86","77.86","85","71.48","1120","2915","2898","33.98","0","573.85","26.07","80.43","0","Banking and Finance","8","73896.62","78.84","29.71","MCX","534091","INE745G01043"
"8","PTC","1387176.68","1515013.6","53.23","2183050","55.48","3159731","57.88","49.28","2025-12-31","77.86","0.21","-40.35","-0.45","-37.62","90","59.36","149.59","207","205.71","3.33","0.51","88.78","27.46","38.36","16.22","Utilities","8","6089.19","7.15","15.5","PTC","532524","INE877F01012"
"9","BSE","1273031.11","882783.6","35.05","858394","27.9","1196989","35.97","31.56","2025-12-31","421.33","0.5","7.77","59.66","17.1","75","69.55","2021.5","3639.6","3626.1","12.52","0","70.34","19.42","44.59","0","Banking and Finance","7","147266.47","67.12","29.97","BSE","","INE118H01025"
"10","Premier Energies","1030424.32","744490.6","34.34","839438","41.24","543217","38.94","36.74","2025-12-31","","0.48","10.83","13.02","5.42","90","46.07","660","1163.9","1037.35","9.46","0.67","305.05","5.72","19.41","63.94","Consumer Durables","8","47090.66","35.39","33.2","PREMIERENE","544238","INE0BS701011"
"11","EPL","817106.37","500240.2","54.88","330900","46.71","582679","42.08","59.62","2025-12-31","67.44","0.36","-21.67","13.26","-4.74","80","50.71","176.4","254","225.34","6.98","0.29","68.39","17.22","27.42","26.38","Commercial Services & Supplies","7","7216.52","18.03","15.24","EPL","500135","INE255A01020"
"12","Chennai Petroleum","785438.53","1274179.6","24.62","1147621","25.41","1723469","34.17","25.48","2026-03-31","-12.14","0","41.96","-2.5","7.23","85","71.44","587.1","1103","1072.3","1.58","0.18","1349.25","12.59","14.7","67.29","Oil & Gas","7","15967.77","5.15","27.92","CHENNPETRO","500110","INE178A01016"
"13","Bajaj Consumer Care","647407.37","429870.4","42.08","314729","26.43","632993","48.68","45.5","2026-03-31","36.61","0.62","37.15","30.41","6.72","70","73.2","161.4","496.85","465.95","13.41","0","51.83","16.59","30.86","42.97","FMCG","7","6086.15","32","25.19","BAJAJCON","533229","INE933K01021"
"14","Garden Reach Shipbuilders","581035.95","611160","24.6","396988","21.03","538051","23.5","30.34","2026-03-31","227.86","1.05","77.55","29.06","11.79","75","56.11","1741.2","3538.4","2875.3","1.5","0","41.81","3.51","5.2","74.5","General Industrials","7","32937.14","44.04","28.48","GRSE","542011","INE382Z01011"
"15","Mazagon Dock Shipbuilders","559923.42","468889.2","25.05","353374","21.51","270053","26.39","25.18","2025-12-31","295.11","-3.59","17.39","14.55","22.94","65","52.31","2057.4","3775","2683.3","1.52","0","24.6","1.73","6.82","81.22","General Industrials","7","108238.96","44.97","30.39","MAZDOCK","543237","INE249Z01020"
"16","Torrent Power","494069","968358.8","56.47","1059677","51.71","496067","44.61","48.07","2025-12-31","558.29","0.83","-11.14","4.28","-13.94","85","67.82","1188","1824.1","1754.9","15.67","0.5","63.02","8.4","39.57","51.09","Utilities","8","88430.03","28","16.96","TORNTPOWER","532779","INE813H01021"
"17","GE T&D","468898.79","471374","45.59","318260","52.66","354586","57.35","60.66","2025-12-31","1325.98","0.91","-2.9","58.4","10.54","90","70.85","1500","4694","4520.8","18.03","0","236","20.39","41.78","51","General Industrials","9","115753.5","108.39","34.3","GVT&D","522275","INE200A01026"
"18","Gokul Agro Resources","338177.84","664854.6","9.76","365769","15.17","344238","24.49","37.95","2025-12-31","99.81","0.92","-23.18","26.58","-4.88","65","67.11","106.3","246","225.11","0.08","0.51","80.89","1.51","1.6","74.24","FMCG","8","6642.7","22.2","23.7","GOKULAGRO","539725","INE314T01033"
