"Sl No","Stock","Delivery Vol  Avg Month","Delivery Vol  Avg Week","Delivery% Vol  Avg Week","Delivery Vol  Prev EOD","Delivery% Vol  Avg Month","Delivery Vol  EOD","Delivery% Vol  Prev EOD","Delivery% Vol  EOD","Latest Financial Result","Net Profit 3Y Growth %","PEG TTM","Net Profit QoQ Growth %","Rev  Growth Qtr YoY %","Revenue QoQ Growth %","Durability Score","Momentum Score","1Y Low","1Y High","LTP","MF holding current Qtr %","Total Debt to Total Equity Ann ","Net Profit Ann  YoY Growth %","FII holding current Qtr %","Institutional holding current Qtr %","Promoter holding latest %","Sector","Piotroski Score","Market Cap","PE TTM","ROE Ann  %","NSE Code","BSE Code","ISIN"
"1","Tata Steel","12802619.95","13090308.4","46.97","18791639","41.79","17414152","53.73","45.93","2025-12-31","-91.48","0.12","-13.32","6.25","-2.87","75","66.02","138","218.24","215.05","14.47","0.98","177.08","18.58","45.91","33.19","Metals & Mining","6","268458.34","29.28","3.75","TATASTEEL","500470","INE081A01020"
"2","Canara Bank","9594520.32","8655617.8","42.69","6110015","40.37","9895395","42.33","43.15","2025-12-31","186.37","0.57","8.32","0.61","-3.54","70","59.94","90.95","162.89","137.1","5.01","0.91","14.8","14.24","25.15","62.93","Banking and Finance","6","124358.63","6.77","17.72","CANBK","532483","INE476A01022"
"3","Vedanta","8911872.42","13456777.2","56.62","14237200","45.43","24699557","59.79","60.06","2025-12-31","-20.29","2.02","217.58","-40.26","-41.38","85","62.3","398.6","795","739.3","6.9","1.79","253.57","13.93","27.42","56.38","Metals & Mining","8","289094.99","20.39","36.36","VEDL","500295","INE205A01025"
"4","Bharat Heavy Electricals","8642520","7481763.8","42.23","8206045","40.43","7812930","38.45","48.22","2025-12-31","19.7","2.67","4.14","16.44","12.8","75","68.34","205.12","356","354.71","12.88","0.36","89.18","7.23","31.22","58.17","General Industrials","9","123512.27","151.69","2.15","BHEL","500103","INE257A01026"
"5","NTPC","7796691.32","6589857.8","59.38","8067053","56.4","3844044","59.15","47.43","2025-12-31","40.46","1.63","8.33","1.76","2.37","80","65.34","315.55","414.4","406.85","17.83","1.34","12.54","16.54","45.79","51.1","Utilities","8","394508.86","16.32","12.72","NTPC","532555","INE733E01010"
"6","National Aluminium ","4851979.37","4542910.6","46.41","2393955","36.66","4537975","41.5","50.68","2025-12-31","78.49","0.29","11.55","1.47","10.22","85","76.09","149","445.15","441.5","6.24","0.01","164.93","22.27","33.02","51.28","Metals & Mining","9","81087.29","13.2","29.58","NATIONALUM","532234","INE139A01034"
"7","Hindalco Industries","3619291.95","3110936","58.39","2443380","49.23","5367631","55.18","66.55","2025-12-31","16.54","0.95","-56.78","13.93","0.7","80","67.71","603.75","1079.7","1074.3","11.37","0.5","57.57","29.96","55.83","34.64","Metals & Mining","7","241419.54","15.02","12.93","HINDALCO","500440","INE038A01020"
"8","FSN E-Commerce","2925104.68","3042298.8","57.42","2573071","54.56","1640729","50.45","49.78","2025-12-31","60.88","3.26","83.88","26.73","22.48","75","63.87","188.5","285.6","270.11","19.6","0.74","104.8","12.4","37.75","52.09","Retailing","7","77342.82","547.21","5.07","NYKAA","543384","INE388Y01029"
"9","Shipping Corporation","2713901.11","2422234.8","30.75","2275898","18.05","4811211","38.3","30.41","2025-12-31","-2.5","0.72","114.09","22.5","20.38","90","67.16","158.06","322.8","303.1","0.6","0.23","24.24","8.98","11.47","63.75","Transportation","9","14118.37","12.46","10.14","SCI","523598","INE109A01011"
"10","Hindustan Zinc","2639565.21","4012704.2","35.9","7555148","38.43","3483471","33.72","48.39","2026-03-31","31.6","0.56","28.52","49.05","23.35","80","66.02","398","733","616.1","1.27","0.36","33.6","2.39","35.15","60.71","Metals & Mining","9","260321.9","18.82","61.12","HINDZINC","500188","INE267A01025"
"11","Hindustan Copper","2478749.63","1552564.2","34.14","2115758","25.69","1831627","35.69","35.54","2025-12-31","24.42","1.26","-15","109.7","-4.28","85","71.6","198","760.05","556.4","0.89","0.06","57.5","6.34","11.73","66.14","Metals & Mining","8","53805.22","81.34","17.47","HINDCOPPER","513599","INE531E01026"
"12","Engineers India","2342746.42","2749682","37.72","5503927","33.87","1685660","33.06","40.7","2025-12-31","315.55","0.21","315.84","58.29","31.36","75","65.5","163.55","264.6","256.54","10.57","0","30.21","9.66","21.89","51.32","Commercial Services & Supplies","7","14418.64","18.58","21.72","ENGINERSIN","532178","INE510A01028"
"13","Jammu & Kashmir Bank","2113205.32","2174010.6","48.06","1929982","41.01","2535338","47.74","47.31","2025-12-31","320.69","14.78","17.49","3.28","0.67","70","59.25","87.3","135","128.52","3.89","0.18","17.53","8.35","14.35","59.4","Banking and Finance","7","14152.4","6.6","16.05","J&KBANK","532209","INE168A01041"
"14","L&T","2077978.63","1311816.8","59.52","1320491","55.24","1013659","63.51","56.52","2025-12-31","73.45","2.1","-18.11","10.49","5.1","75","62.34","3284.1","4440","4037.7","20.5","1.33","15.15","18.78","62.35","0","Cement and Construction","6","567974.54","34.94","15.39","LT","500510","INE018A01030"
"15","NLC","2017520.58","2678866.6","35.07","4785195","30.02","2933906","28.79","37.18","2025-12-31","139.93","1.07","0.14","0.72","6.33","75","64.79","212.85","325.1","318.15","9.49","1.2","41.38","3.61","21.89","72.2","Utilities","7","44115.84","16.9","14","NLCINDIA","513683","INE589A01014"
"16","Adani Ports","1897562.74","1200613.6","43.39","1619236","47.93","1224319","39.83","45.38","2025-12-31","134.6","1.21","-1.78","21.86","5.86","70","62.13","1202.5","1649.9","1637.6","5.24","0.73","36.76","13.25","27.11","68.02","Transportation","6","353744.35","28.32","17.81","ADANIPORTS","532921","INE742F01042"
"17","Gujarat Mineral","1800038.74","1406496.2","24.73","1667168","20.49","2804904","34.9","20.12","2025-12-31","69.34","0.48","-71.43","-11.37","9.77","75","67.22","288.95","771.9","714.4","0.51","0.02","11.11","3.76","4.7","74","Metals & Mining","6","22717.92","22.98","10.69","GMDCLTD","532181","INE131A01031"
"18","Multi Commodity Exchange","1439316.37","1099116.8","46.35","865676","42.15","725620","49.01","38.71","2025-12-31","290.41","0.95","103.13","120.86","77.86","85","71.48","1120","2915","2898","33.98","0","573.85","26.07","80.43","0","Banking and Finance","8","73896.62","78.84","29.71","MCX","534091","INE745G01043"
"19","BSE","1273031.11","882783.6","35.05","858394","27.9","1196989","35.97","31.56","2025-12-31","421.33","0.5","7.77","59.66","17.1","75","69.55","2021.5","3639.6","3626.1","12.52","0","70.34","19.42","44.59","0","Banking and Finance","7","147266.47","67.12","29.97","BSE","","INE118H01025"
"20","Gallantt Ispat","882210.47","233644.4","19.28","248352","8.66","366101","20.13","26.39","2025-12-31","","1.64","12.91","-4","6.01","95","71.91","400","948","852.7","0.08","0.13","77.83","0.09","0.17","70","Metals & Mining","8","20574.02","42.91","14.09","GALLANTT","532726","INE297H01019"
"21","HEG","843069","576609.4","30.27","590901","23.32","390300","31.95","41.15","2025-12-31","-73.31","0.46","44.4","37.2","-6.13","75","67.45","416.05","685.7","659.15","6.79","0.13","-63.09","10.23","18.86","56.28","General Industrials","7","12720.11","33.35","2.58","HEG","509631","INE545A01024"
"22","Chennai Petroleum","785438.53","1274179.6","24.62","1147621","25.41","1723469","34.17","25.48","2026-03-31","-12.14","0","41.96","-2.5","7.23","85","71.44","587.1","1103","1072.3","1.58","0.18","1349.25","12.59","14.7","67.29","Oil & Gas","7","15967.77","5.15","27.92","CHENNPETRO","500110","INE178A01016"
"23","Lupin","681910.42","606643.6","52.94","540979","57.46","572398","58.67","44.5","2025-12-31","314.76","0.37","-20.46","24.27","1.7","70","59.81","1836.8","2381","2302.7","16.93","0.3","71.41","21.7","47.02","46.86","Pharmaceuticals & Biotechnology","6","105274.63","22.66","19.07","LUPIN","500257","INE326A01037"
"24","Welspun Corp","605340.47","1125131.4","44.52","355764","45.75","320249","43.63","37.34","2025-12-31","334.85","0.53","2.94","25.43","3.63","70","67.4","710","1245","1226.4","9.86","0.12","71.84","11.23","32.72","49.73","Metals & Mining","5","32351.28","16.67","25.66","WELCORP","532144","INE191B01025"
"25","Bharat Forge","603100.89","406412","43.17","352273","47.04","240839","37.99","43.32","2025-12-31","-13","2.67","-2.19","24.96","7.71","80","68.43","1080","1935.5","1894.8","21.05","0.68","-1.05","14.15","46.92","44.07","General Industrials","7","90588.23","78.26","10.17","BHARATFORG","500493","INE465A01025"
