"Sl No","Stock","Latest Financial Result","Net Profit 3Y Growth %","PEG TTM","Net Profit QoQ Growth %","Rev  Growth Qtr YoY %","Revenue QoQ Growth %","Durability Score","Momentum Score","1Y Low","1Y High","LTP","MF holding current Qtr %","Total Debt to Total Equity Ann ","Net Profit Ann  YoY Growth %","FII holding current Qtr %","Institutional holding current Qtr %","Promoter holding latest %","Sector","Piotroski Score","Market Cap","PE TTM","ROE Ann  %","NSE Code","BSE Code","ISIN"
"1","Tips Industries","2026-03-31","183.25","1.33","0.68","32.42","10.23","80","56.64","481.15","718","677.45","3.98","0","30.13","7.48","12.42","64.15","Media","8","8659.95","39.95","83.37","TIPSMUSIC","532375","INE716B01029"
"2","Swaraj Engines","2026-03-31","46.92","1.34","29.6","20.18","15.34","70","52.9","3301.3","4720","3942","8.07","0","18.27","2.82","11.91","52.11","Automobiles & Auto Components","8","4789.49","24.4","40.15","SWARAJENG","500407","INE277A01016"
"3","SML Mahindra","2026-03-31","705.39","1.13","209.01","16.37","66.46","90","48.39","1520","5348","3909.2","0.12","0.54","31.29","0.77","2.33","58.97","Automobiles & Auto Components","8","5657.24","35.41","30.76","SMLMAH","505192","INE294B01019"
"4","Jayaswal Neco Ind","2026-03-31","104.13","0.07","157.62","17.85","14.3","75","69.87","34.9","108.75","102.72","0.14","0.74","311","0.9","1.2","55.15","Metals & Mining","8","9974.09","21.54","16.29","JAYNECOIND","522285","INE854B01010"
"5","Indosolar","2026-03-31","-77.19","0.02","1.27","-56.72","-58.35","80","74.55","165.07","725","466.85","0","0","350.15","0.55","0.68","74.93","Consumer Durables","8","1942.27","7.88","85.92","WAAREEINDO","533257","INE866K01023"
"6","Hindustan Zinc","2026-03-31","31.6","0.56","28.52","49.05","23.35","80","65.22","398","733","621.5","1.27","0.36","33.6","2.39","35.15","60.71","Metals & Mining","9","262603.58","18.99","61.12","HINDZINC","500188","INE267A01025"
"7","Chennai Petroleum","2026-03-31","-12.14","0","41.96","-2.5","7.23","85","70.55","587.1","1103","994.4","1.58","0.18","1349.25","12.59","14.7","67.29","Oil & Gas","7","14807.75","4.77","27.92","CHENNPETRO","500110","INE178A01016"
"8","Bajaj Consumer Care","2026-03-31","36.61","0.59","37.15","30.41","6.72","70","72.6","161.4","496.85","447.5","13.41","0","51.83","16.59","30.86","42.97","FMCG","7","5845.16","30.73","25.19","BAJAJCON","533229","INE933K01021"
"9","Sumeet Industries","2025-12-31","5743.26","-56.05","-8.32","6.02","-0.88","85","45.82","10.66","40.5","29.51","0","0.46","388.52","0.01","0.01","89.83","Textiles Apparels & Accessories","7","1553.19","16.43","110.11","SUMEETINDS","514211","INE235C01036"
"10","Antelopus Selan Energy","2025-12-31","645.51","-8.35","141.32","11.14","28.99","75","57.6","357","767.95","647.4","0","0","125.97","0.26","0.29","69.94","Oil & Gas","8","2276.41","33.74","15.74","ANTELOPUS","530075","INE818A01017"
"11","PTC","2025-12-31","77.86","0.2","-40.35","-0.45","-37.62","90","56.08","149.59","207","193.27","3.33","0.51","88.78","27.46","38.36","16.22","Utilities","8","5720.95","6.72","15.5","PTC","532524","INE877F01012"
"12","National Aluminium ","2025-12-31","78.49","0.29","11.55","1.47","10.22","85","74.98","149","445.15","441.6","6.24","0.01","164.93","22.27","33.02","51.28","Metals & Mining","9","81105.66","13.21","29.58","NATIONALUM","532234","INE139A01034"
"13","Multi Commodity Exchange","2025-12-31","290.41","0.92","103.13","120.86","77.86","85","70.98","1120","2903","2806","33.98","0","573.85","26.07","80.43","0","Banking and Finance","8","71550.7","76.34","29.71","MCX","534091","INE745G01043"
"14","Mayur Uniquoters","2025-12-31","58.2","0.58","24.21","13.96","-1.18","90","62.93","449.1","629.9","562.4","2.3","0.01","21.9","3.68","7.33","58.77","Textiles Apparels & Accessories","7","2443.77","14.06","15.62","MAYURUNIQ","522249","INE040D01038"
