"Sl No","Stock","Durability Score","Momentum Score","LTP","Market Cap","Latest Financial Result","PE TTM","PBV Adjusted","Revenue QoQ Growth %","Net Profit QoQ Growth %","NSE Code","BSE Code","ISIN"
"1","Gallantt Ispat","95","68.71","828.7","19994.95","2025-12-31","41.7","6.24","6.01","12.91","GALLANTT","532726","INE297H01019"
"2","Shipping Corporation","90","66.71","288.29","13428.52","2025-12-31","11.85","1.5","20.38","114.09","SCI","523598","INE109A01011"
"3","GE T&D","90","70.6","4598.3","117737.86","2025-12-31","110.24","49.53","10.54","-2.9","GVT&D","522275","INE200A01026"
"4","Torrent Power","85","67.67","1699.5","85638.4","2025-12-31","27.12","4.4","-13.94","-11.14","TORNTPOWER","532779","INE813H01021"
"5","National Aluminium ","85","74.98","437.05","80269.99","2025-12-31","13.07","3.74","10.22","11.55","NATIONALUM","532234","INE139A01034"
"6","Multi Commodity Exchange","85","70.98","2760.9","70400.69","2025-12-31","75.11","28.28","77.86","103.13","MCX","534091","INE745G01043"
"7","Hindustan Copper","85","70.72","541.5","52364.35","2025-12-31","79.17","16.69","-4.28","-15","HINDCOPPER","513599","INE531E01026"
"8","Schaeffler","85","62.19","4286.6","67001.14","2025-12-31","58.24","11.08","11.89","11.44","SCHAEFFLER","505790","INE513A01022"
"9","Chennai Petroleum","85","70.55","1035","15412.33","2026-03-31","4.97","1.57","7.23","41.96","CHENNPETRO","500110","INE178A01016"
"10","Hitachi Energy","80","72.91","32200","143523.13","2025-12-31","170.6","29.63","13.62","-1.11","POWERINDIA","543187","INE07Y701011"
"11","Bharat Forge","80","69.19","1856","88733.24","2025-12-31","76.66","9.21","7.71","-2.19","BHARATFORG","500493","INE465A01025"
"12","AIA Engineering","80","63.11","4014.3","37461.61","2025-12-31","32.24","4.89","1.83","6.12","AIAENG","532683","INE212H01026"
"13","Sai Life Science","75","67.97","1024.95","21731.35","2025-12-31","65.27","9.17","3.53","19.72","SAILIFE","544306","INE570L01029"
"14","FSN E-Commerce","75","63.77","262.79","75246.83","2025-12-31","532.38","51.69","22.48","83.88","NYKAA","543384","INE388Y01029"
"15","Acutaas Chemicals","75","61.7","2395","19608.13","2025-12-31","68.33","12.9","28.41","49.45","ACUTAAS","543349","INE00FF01025"
"16","BSE","75","68.87","3446","139952.09","2025-12-31","63.79","24.18","17.1","7.77","BSE","","INE118H01025"
"17","Schneider Electric","75","67.73","1180.1","28216.66","2025-12-31","115.08","37.36","58.3","85.45","SCHNEIDER","534139","INE839M01018"
"18","NLC","75","64.47","299.1","41474.3","2025-12-31","15.89","2","6.33","0.14","NLCINDIA","513683","INE589A01014"
"19","Navin Fluorine ","75","65.32","6452","33087.08","2025-12-31","60.61","8.74","17.66","24.96","NAVINFLUOR","532504","INE048G01026"
"20","HEG","75","66.48","653.45","12610.11","2025-12-31","33.06","2.62","-6.13","44.4","HEG","509631","INE545A01024"
"21","Gujarat Mineral","75","66.33","669.85","21301.23","2025-12-31","21.54","3.11","9.77","-71.43","GMDCLTD","532181","INE131A01031"
"22","Engineers India","75","63.89","242.89","13651.45","2025-12-31","17.6","4.53","31.36","315.84","ENGINERSIN","532178","INE510A01028"
"23","Bharat Heavy Electricals","75","67.68","337.39","117481.34","2025-12-31","144.28","4.74","12.8","4.14","BHEL","500103","INE257A01026"
"24","Jammu & Kashmir Bank","70","66.9","126.05","13880.41","2025-12-31","6.48","0.89","0.67","17.49","J&KBANK","532209","INE168A01041"
"25","Great Eastern ","70","60.48","1404.4","20050.23","2025-12-31","8.87","1.25","17.13","39.75","GESHIP","500620","INE017A01032"
