"Sl No","Stock","Delivery Vol  Avg Month","Delivery Vol  Avg Week","Delivery% Vol  Avg Week","Delivery Vol  Prev EOD","Delivery% Vol  Avg Month","Delivery Vol  EOD","Delivery% Vol  Prev EOD","Delivery% Vol  EOD","Latest Financial Result","Net Profit 3Y Growth %","PEG TTM","Net Profit QoQ Growth %","Rev  Growth Qtr YoY %","Revenue QoQ Growth %","Durability Score","Momentum Score","1Y Low","1Y High","LTP","MF holding current Qtr %","Total Debt to Total Equity Ann ","Net Profit Ann  YoY Growth %","FII holding current Qtr %","Institutional holding current Qtr %","Promoter holding latest %","Sector","Piotroski Score","Market Cap","PE TTM","ROE Ann  %","NSE Code","BSE Code","ISIN"
"1","Tata Steel","12478692.37","13963985.25","45.43","12873524","42.84","12231871","48.9","49.94","2025-12-31","-91.48","0.12","-13.32","6.25","-2.87","75","68.46","140.51","218.24","212.24","14.47","0.98","177.08","18.58","45.91","33.19","Metals & Mining","6","264950.47","28.9","3.75","TATASTEEL","500470","INE081A01020"
"2","Bharat Heavy Electricals","10181477.42","12422382.5","31.03","7489249","37.65","28199012","41.38","25.6","2026-03-31","235.21","0.41","230.55","36.88","45.29","75","71.05","205.12","399","377.05","12.88","0.31","199.73","7.23","31.22","58.17","General Industrials","8","131291.2","82.04","6.12","BHEL","500103","INE257A01026"
"3","NTPC","7089292.26","5000744.25","56.71","4958143","56.77","4107738","60.42","60.99","2025-12-31","40.46","1.6","8.33","1.76","2.37","80","66.61","315.55","414.4","400.05","17.83","1.34","12.54","16.54","45.79","51.1","Utilities","8","387915.13","16.04","12.72","NTPC","532555","INE733E01010"
"4","Hindalco Industries","3356725.11","3000120.25","60.56","2539368","52.46","2033479","56.34","59.24","2025-12-31","16.54","0.93","-56.78","13.93","0.7","80","68.31","603.75","1080","1042.7","11.37","0.5","57.57","29.96","55.83","34.64","Metals & Mining","7","234318.31","14.57","12.93","HINDALCO","500440","INE038A01020"
"5","Shipping Corporation","3265389.32","4451371","27.6","1943834","19.12","5515640","23.22","33.25","2025-12-31","-2.5","0.75","114.09","22.5","20.38","90","68.31","158.06","322.8","318.55","0.6","0.23","24.24","8.98","11.47","63.75","Transportation","9","14838.03","13.09","10.14","SCI","523598","INE109A01011"
"6","Hindustan Zinc","2778394.74","3301477.25","47.17","3208314","39.66","2434918","44.88","45.03","2026-03-31","31.6","0.55","28.52","49.05","23.35","80","67.32","398","733","605.55","1.27","0.36","33.6","2.39","35.15","60.71","Metals & Mining","9","255864.19","18.5","61.12","HINDZINC","500188","INE267A01025"
"7","FSN E-Commerce","2575643.32","1390826.5","49.66","1100726","54.79","1236604","49.89","44.57","2025-12-31","60.88","3.19","83.88","26.73","22.48","75","64.11","188.5","285.6","264.85","19.6","0.74","104.8","12.4","37.75","52.09","Retailing","7","75836.68","536.56","5.07","NYKAA","543384","INE388Y01029"
"8","Jammu & Kashmir Bank","2469563.89","3435123","51.84","2216285","44.33","2112461","51.41","48.05","2025-12-31","320.69","15.14","17.49","3.28","0.67","70","59.83","87.3","135.68","131.64","3.89","0.18","17.53","8.35","14.35","59.4","Banking and Finance","7","14495.97","6.76","16.05","J&KBANK","532209","INE168A01041"
"9","Engineers India","2387000","1928953.75","37.58","1306333","34.15","3545590","25.73","43.18","2025-12-31","315.55","0.22","315.84","58.29","31.36","75","67.03","163.55","264.6","261.7","10.57","0","30.21","9.66","21.89","51.32","Commercial Services & Supplies","7","14708.65","18.96","21.72","ENGINERSIN","532178","INE510A01028"
"10","NLC","2151219","2406575","36.81","1825955","30.26","2491849","32.54","42.75","2025-12-31","139.93","1.07","0.14","0.72","6.33","75","65.62","212.85","330","320.4","9.49","1.2","41.38","3.61","21.89","72.2","Utilities","7","44427.84","17.02","14","NLCINDIA","513683","INE589A01014"
"11","Hindustan Copper","1961171.95","1578238.5","35.14","2032363","29.21","1281794","40.8","32.81","2025-12-31","24.42","1.22","-15","109.7","-4.28","85","62.6","198","760.05","537.4","0.89","0.06","57.5","6.34","11.73","66.14","Metals & Mining","8","51967.87","78.57","17.47","HINDCOPPER","513599","INE531E01026"
"12","L&T","1935885.95","1217381.25","52.58","1285575","55.52","1175799","45.61","52.18","2025-12-31","73.45","2.13","-18.11","10.49","5.1","75","63.52","3284.1","4440","4100.8","20.5","1.33","15.15","18.78","62.35","0","Cement and Construction","6","576850.68","35.49","15.39","LT","500510","INE018A01030"
"13","Gujarat Mineral","1889952.95","1707538.5","22.15","1043926","20.5","864461","23.78","30.72","2025-12-31","69.34","0.48","-71.43","-11.37","9.77","75","68.53","288.95","771.9","727.6","0.51","0.02","11.11","3.76","4.7","74","Metals & Mining","6","23137.68","23.4","10.69","GMDCLTD","532181","INE131A01031"
"14","Multi Commodity Exchange","1339272.05","961665.5","39.27","1160546","41.31","873061","45.23","34.65","2025-12-31","290.41","0.96","103.13","120.86","77.86","85","72.59","1120","3041","2912.9","33.98","0","573.85","26.07","80.43","0","Banking and Finance","8","74276.56","79.25","29.71","MCX","534091","INE745G01043"
"15","BSE","1247903.95","1013708.5","32.19","677449","28.57","1316182","28.45","34.97","2025-12-31","421.33","0.51","7.77","59.66","17.1","75","71.58","2021.5","3755","3711.3","12.52","0","70.34","19.42","44.59","0","Banking and Finance","7","150726.69","68.7","29.97","BSE","","INE118H01025"
