ticker,stock,vol_ratio,high_52w,low_52w,pct_52w,change_60d,change_90d,candles
APLAPOLLO,APLAPOLLO,0.4,2280.8,1504.8,58.2,-10.99,5.26,248
ATUL,ATUL,0.26,7696.0,5664.5,69.6,9.58,17.04,248
BAJAJCON,BAJAJCON,0.24,521.5,162.0,100.0,44.98,96.09,248
BHARATFORG,BHARATFORG,1.21,2021.2,1106.7,100.0,29.77,39.35,248
BHEL,BHEL,0.36,406.45,208.01,97.9,50.88,44.59,248
BSE,BSE,1.64,3963.6,2040.2,98.9,36.06,47.58,248
CARRARO,CARRARO,0.15,594.85,394.5,95.7,7.15,6.88,248
CEMPRO,CEMPRO,0.11,970.3,509.7,99.8,52.69,19.53,248
CHENNPETRO,CHENNPETRO,0.32,1139.5,591.9,90.9,20.32,28.45,248
CRAFTSMAN,CRAFTSMAN,8.53,9229.0,4867.5,100.0,17.81,31.8,248
CROMPTON,CROMPTON,0.32,359.3,221.45,50.6,18.84,13.13,248
CUMMINSIND,CUMMINSIND,0.36,5458.0,2736.3,100.0,24.94,23.56,248
EMCURE,EMCURE,0.48,1793.2,1007.6,82.6,9.28,17.38,248
ENGINERSIN,ENGINERSIN,0.19,262.35,164.56,97.2,51.48,29.06,248
EPL,EPL,1.04,247.55,180.12,95.2,14.71,14.4,248
FIEMIND,FIEMIND,2.06,2545.7,1468.3,77.3,0.19,-3.87,248
FORCEMOT,FORCEMOT,0.52,25776.0,9712.5,69.7,-2.28,13.82,248
GALLANTT,GALLANTT,0.05,927.1,415.65,90.4,49.11,67.56,248
GESHIP,GESHIP,1.29,1604.7,875.55,100.0,25.94,44.61,248
GMDCLTD,GMDCLTD,0.15,746.75,294.65,87.7,15.19,26.68,248
GOKULAGRO,GOKULAGRO,0.12,240.0,109.97,100.0,48.91,29.8,248
GRANULES,GRANULES,0.29,754.0,439.35,100.0,33.76,23.1,248
GRSE,GRSE,0.26,3492.7,1795.0,75.0,27.8,25.07,248
GVT&D,GVT&D,0.37,4768.2,1653.0,95.5,30.32,46.35,248
